comparison,model_a,model_b,target,n,delta_rmse_a_minus_b,ci_low,ci_high,delta_mse,swap_p,holm_p
winner_vs_mean,selected,mean,SWB_nn,104,-0.0034082559617805153,-0.006698527557520372,-0.0003764261260831485,-0.0011437292307001983,0.033596640335966405,0.16798320167983202
winner_vs_mean,selected,mean,SWB_pp,104,-0.005163025975255614,-0.008192173888594396,-0.0021485907484836276,-0.0017249947434972777,0.0018998100189981002,0.011398860113988602
winner_vs_mean,selected,mean,SWB_avg,104,-0.002524736452732129,-0.006434906211475613,0.0013661651573360523,-0.0010280041707755904,0.20427957204279573,0.8171182881711829
shared_vs_independent,selected,original_rf,SWB_nn,104,-2.2795300971267807e-05,-0.002249271843597343,0.0022334206229199013,-7.572385518254784e-06,0.9856014398560144,1.0
shared_vs_independent,selected,original_rf,SWB_pp,104,-0.0003957998129025808,-0.002536858592997044,0.0016064385414511755,-0.0001303519787571827,0.7123287671232876,1.0
shared_vs_independent,selected,original_rf,SWB_avg,104,-9.061637461130201e-05,-0.0029091339052883976,0.0026648458255174303,-3.6675957584060925e-05,0.9481051894810519,1.0
