target,feature,mean,std,min,max
SWB_avg,Angery,-0.0006738584413562981,0.00038848165708834704,-0.0014014300130550383,2.6690198371703833e-06
SWB_avg,C10,6.492268050323491e-05,0.0006279997046575775,-0.0011213714185144552,0.0012874287922053362
SWB_avg,C2,-0.0008858276601260359,0.0004483119764542201,-0.0019348781392399539,-0.0002970876383283916
SWB_avg,D,0.0009278446922191666,0.0005783046739655072,2.3391520750315475e-05,0.0017179420341553175
SWB_avg,Family,0.0010304541329629851,0.000690019208538996,-0.0003298902704877149,0.0022216973669223483
SWB_avg,HarmVirtue,8.849099355637824e-05,0.000292733403620567,-0.00045599411529140266,0.0007081156995893956
SWB_avg,Hate,0.0004620124104368864,0.0002475671450133751,1.8077511764275078e-05,0.0009873766325424194
SWB_avg,Period,-0.0001789364293871193,0.00025464004735609245,-0.0006368638379717628,0.00018757347309156236
SWB_avg,Quote,0.0008809981682213628,0.00035971860557258245,0.00022126496913893456,0.0015922445059524948
SWB_avg,Sexual,-0.00016911534620938777,0.0006574252788584853,-0.0015637137026766612,0.0007766840651467488
SWB_avg,SheHe,0.0002028014750618423,0.0002768659245590082,-0.0003088767273096982,0.000771177359642522
SWB_avg,We,-0.0009347759524890586,0.0007419472135922769,-0.0025996556823817962,0.00029536406140534543
SWB_avg,tFuture,0.00036878411672249396,0.00021452309498040548,3.163285336796329e-05,0.0006937623150063688
SWB_avg,tNow,0.00036870225796170467,0.00026135408603792043,-0.00017820160905010485,0.0008959353850396257
SWB_nn,Angery,0.00010568816066573172,0.00028966823545954485,-0.0004261086443303197,0.0006140472687998499
SWB_nn,C10,0.00032019773063209355,0.0005005459243402847,-0.0008104397496166704,0.001202873920460229
SWB_nn,C2,0.0002487376381581363,0.00043543677152040364,-0.0005073800786528637,0.0009551998737291068
SWB_nn,D,7.380376650361203e-05,0.00037593365041053663,-0.0005195091016109987,0.0008373440139992916
SWB_nn,Family,-8.447371992412467e-05,0.0001799589893173356,-0.0004161309547554559,0.00018633305262835687
SWB_nn,HarmVirtue,0.00015428985169686633,0.00011951397575898562,-0.00010834536169471165,0.0004444127839243195
SWB_nn,Hate,0.0001950554512904712,0.0001309860835169499,-6.536810806528903e-05,0.0003955933796405964
SWB_nn,Period,0.00013834123200890113,0.0002572781819751617,-0.00033814604401527504,0.0005735430679650877
SWB_nn,Quote,8.590731599662783e-06,0.00021420481980213705,-0.0005592680584737553,0.0003548476273572132
SWB_nn,Sexual,8.135202917806256e-05,0.0005216359521984642,-0.0009920609498490218,0.0008729620331093535
SWB_nn,SheHe,0.00025554182225933226,0.000272954692857405,-0.0002069422487119832,0.0006725772405050401
SWB_nn,We,-0.00027886241675197934,0.0003593422589474898,-0.0009460795036188574,0.0003242023963890839
SWB_nn,tFuture,-2.0716448747454265e-05,0.00016989120853173236,-0.00033942994417757166,0.00036646239939880365
SWB_nn,tNow,-9.161472685099565e-05,0.00012974666486406975,-0.0003736426145854732,0.00022805680063633926
SWB_pp,Angery,0.00022660306696587195,0.0002956915494199824,-8.988262443362927e-05,0.0008328447433499919
SWB_pp,C10,0.00031552070122944226,0.00018036237415972208,-2.1172508982592042e-05,0.0006141812813610925
SWB_pp,C2,-0.0001877457356355222,0.0003331112510457391,-0.0007463210372706253,0.00035564560178821814
SWB_pp,D,0.00022386204962302202,0.0002993019441274671,-0.000309235371059452,0.0007120402970957618
SWB_pp,Family,-8.484823721617158e-05,0.00034231174486075655,-0.0009669190582350662,0.00044445664233927484
SWB_pp,HarmVirtue,0.0003213458202570879,0.00015937663897285604,4.846347344777957e-05,0.0006340788216124271
SWB_pp,Hate,0.0005598291267909852,0.0002568815804292622,0.00023799694311993358,0.001218090635471708
SWB_pp,Period,-9.272810658242925e-05,0.0002713126995846501,-0.0005100135284655805,0.0005045674144676104
SWB_pp,Quote,0.0002267854478824577,0.00016879788232000538,-6.931154185610411e-05,0.0005086002609779317
SWB_pp,Sexual,2.0668013519173356e-06,0.0005440279687815326,-0.0008860929637383719,0.0009245041686440358
SWB_pp,SheHe,9.493469022195944e-05,0.0003398117227667378,-0.0006871384362165112,0.0008939163644629822
SWB_pp,We,0.00023314900863996706,0.0004149919228214667,-0.0003499531108157039,0.0010271436590935934
SWB_pp,tFuture,1.571037932259628e-05,0.00012928814645952528,-0.00029340649718392897,0.00024692105891424565
SWB_pp,tNow,0.0003063598574139126,0.00020811222535433013,-8.210853563184184e-05,0.0007066315157151781
