family,target,feature,mean_abs_shap,mean_shap,feature_shap_spearman,rank
joint_rf,SWB_nn,tFuture,0.0015790475748384,9.322124067371609e-05,-0.6298693829489724,10
joint_rf,SWB_nn,Family,0.0017260426766477,7.104210066447601e-07,-0.373067096931121,9
joint_rf,SWB_nn,SheHe,0.0018900535582732,-2.968585514552021e-05,0.930025853686988,8
joint_rf,SWB_nn,We,0.0020056513578819,-0.0002625542644809,-0.849040409317578,7
joint_rf,SWB_nn,Period,0.0021427765135303,6.678876957085958e-05,0.8030622540392113,6
joint_rf,SWB_nn,Angery,0.0024964015020505,6.165133952342206e-05,0.8131676830599629,5
joint_rf,SWB_nn,D,0.0027169462170748,7.549639059286037e-05,-0.8384909360790664,4
joint_rf,SWB_nn,C2,0.0036025458981308,1.3126268916279343e-05,0.940295532671603,3
joint_rf,SWB_nn,C10,0.0039624633226454,-4.284464746965547e-05,0.84782910634254,2
joint_rf,SWB_nn,Sexual,0.0040526229133554,-7.958495144172998e-05,0.7694742148195842,1
joint_rf,SWB_pp,tNow,0.0015904161259504,7.040133503904416e-05,0.6838818555851334,10
joint_rf,SWB_pp,Hate,0.0016261156779563,5.41977582256591e-05,-0.9294320028216636,9
joint_rf,SWB_pp,C2,0.001690174663177,-7.600802255971334e-05,-0.8160799240123058,8
joint_rf,SWB_pp,SheHe,0.0019374798243428,1.5048197715000371e-05,-0.9135446829696686,7
joint_rf,SWB_pp,C10,0.0020397494664001,-0.0001261797257202,-0.7016174227178849,6
joint_rf,SWB_pp,Angery,0.0022739157669,-2.6374446783067095e-05,-0.7862761600021642,5
joint_rf,SWB_pp,D,0.0025748981628396,-0.0001110125778269,0.896318783962383,4
joint_rf,SWB_pp,Family,0.0030038359286053,4.261321653179704e-06,0.603358519514214,3
joint_rf,SWB_pp,We,0.0039053500710792,0.0001272361688757,0.892753711605053,2
joint_rf,SWB_pp,Sexual,0.0044880438222663,8.423352572000017e-05,-0.7481440432080996,1
joint_rf,SWB_avg,HarmVirtue,0.0024870647047428,1.0046368115739764e-05,0.6373061116292223,10
joint_rf,SWB_avg,Period,0.0026933820579381,-7.455325059828591e-05,-0.7508401347229726,9
joint_rf,SWB_avg,Quote,0.0027136669273858,-0.0001527475381481,-0.9533519560781192,8
joint_rf,SWB_avg,C2,0.0032477162671059,-0.0001156311869041,-0.7921754568908044,7
joint_rf,SWB_avg,Angery,0.0035634810731643,5.9527765155868625e-05,-0.834486680674134,6
joint_rf,SWB_avg,D,0.0038945008570773,-9.351546157871506e-05,0.9242065207557644,5
joint_rf,SWB_avg,Sexual,0.0043732417328935,-3.7485628711574126e-05,-0.7430313016853801,4
joint_rf,SWB_avg,C10,0.0051964104781219,-2.4433345980497068e-05,-0.8368116708344968,3
joint_rf,SWB_avg,We,0.0056128552249823,0.0002763401847621,0.8991870961863663,2
joint_rf,SWB_avg,Family,0.0061317575983244,8.581629175510348e-05,0.703786055761828,1
