,SWB_nn,SWB_pp,SWB_avg
SWB_nn,1.0,-0.30748042698485395,-0.40807380177242003
SWB_pp,-0.30748042698485395,1.0,0.4575740231982548
SWB_avg,-0.40807380177242003,0.4575740231982548,1.0
