family,macro_normalized_rmse
joint_rf,0.99634039624681
single_rf,0.9964818331950952
single_et,0.996795760658524
ridge,0.9969423780608831
multitask_en,0.997246840080452
joint_et,0.9976936934571262
mean,1.0015903205446852
single_hgb,1.0225608015165009
