family,target,feature,mean_abs_shap,mean_shap,feature_shap_spearman,rank
joint_rf,SWB_nn,AGENCY,0.0002627258134453,4.760459727996152e-05,0.4335120394677496,90
joint_rf,SWB_nn,COMM,0.0002754244722908,-1.579308406400196e-05,-0.4034064237956611,86
joint_rf,SWB_nn,HarmVirtue,0.0008639121173493,-5.614037870812164e-05,-0.5401322602094017,29
joint_rf,SWB_nn,HarmVice,0.000470440750341,-3.0667081027258995e-05,0.6231646214585824,56
joint_rf,SWB_nn,FairnessVirtue,0.0001819937595312,-1.73464620542291e-05,-0.2725032979152068,112
joint_rf,SWB_nn,FairnessVice,0.0003231582919864,1.099574538582766e-05,0.2815934380896849,74
joint_rf,SWB_nn,IngroupVirtue,0.0003007143432355,5.433014635851975e-05,0.5687871058502295,79
joint_rf,SWB_nn,IngroupVice,0.0006818025613771,3.083156934867876e-05,0.761412803654431,38
joint_rf,SWB_nn,AuthorityVirtue,0.0004973542601279,-0.0001164766578982,-0.7876110864316662,51
joint_rf,SWB_nn,AuthorityVice,0.0004661377118966,-1.9333527226929296e-05,0.6839444268483997,57
joint_rf,SWB_nn,PurityVirtue,0.0008882540193147,-3.296963673396087e-05,0.4890003973131688,26
joint_rf,SWB_nn,PurityVice,0.0005170299179385,0.0001363943497561,-0.5328442986443125,47
joint_rf,SWB_nn,MoralityGeneral,0.0005996048056592,-0.0001386418935217,-0.4758288351056799,43
joint_rf,SWB_nn,ind,0.0010485595559579,-3.9167966675871076e-06,0.7306086889917177,18
joint_rf,SWB_nn,col,0.000317133664752,-1.8896903312786343e-05,-0.3828891070185386,76
joint_rf,SWB_nn,Funct,0.0001579484586718,6.002978945752091e-06,-0.3820935919869848,117
joint_rf,SWB_nn,Pronoun,0.0006627876445528,-2.133687348580879e-05,0.9040024929803498,41
joint_rf,SWB_nn,PPron,0.0005335318500951,-3.668161595511162e-05,0.8663921978932261,46
joint_rf,SWB_nn,I,0.0014407997250257,-0.0001318512310679,0.9037542238019056,12
joint_rf,SWB_nn,We,0.0020056513578819,-0.0002625542644809,-0.849040409317578,7
joint_rf,SWB_nn,You,0.0003860109552823,3.744021973955303e-05,0.2139574676065098,66
joint_rf,SWB_nn,SheHe,0.0018900535582732,-2.968585514552021e-05,0.930025853686988,8
joint_rf,SWB_nn,They,0.000494481091112,4.687782340648983e-05,0.8178591749668555,52
joint_rf,SWB_nn,iPron,0.0004198130850646,2.881483315608531e-05,0.601857977897494,62
joint_rf,SWB_nn,Verb,0.000253448743372,5.326289020252348e-05,0.2232517220494528,96
joint_rf,SWB_nn,AuxVerb,0.000259757377347,1.027174812471322e-05,-0.6214253381929373,92
joint_rf,SWB_nn,Adverb,6.956252209388306e-05,-9.550689305381864e-06,-0.1820341351809812,120
joint_rf,SWB_nn,Preps,0.0002360905819073,6.184654536876586e-05,-0.3053446283404002,101
joint_rf,SWB_nn,Conj,0.0002355662940715,4.771411122003567e-05,0.7778403927040284,103
joint_rf,SWB_nn,Negate,0.0003269601109539,-1.8136115705327583e-05,0.3047925964523324,73
joint_rf,SWB_nn,Quant,0.0004871497552899,1.4504599594843011e-05,-0.7064130563713488,54
joint_rf,SWB_nn,Number,0.0002574493182959,4.76804037405436e-05,0.5815938019215288,93
joint_rf,SWB_nn,Swear,0.000869323966853,-5.836151106461518e-05,0.6636618735858254,28
joint_rf,SWB_nn,YouPL,0.0005642340633679,4.348901678423026e-06,0.3890507832828114,44
joint_rf,SWB_nn,PrepEnd,0.0002771167403449,-8.466460519667518e-06,0.7295932733519802,84
joint_rf,SWB_nn,SpecArt,0.0002499067211824,2.6079928290599783e-05,0.6952747549950928,98
joint_rf,SWB_nn,QuanUnit,0.0002316253344656,6.318908149387733e-05,-0.0648335505342081,105
joint_rf,SWB_nn,Interjunction,0.0002065512184719,9.549791052755213e-06,-0.2374398301500386,108
joint_rf,SWB_nn,MultiFun,0.0001607121153653,-1.4475181059151436e-05,-0.0786091228078937,116
joint_rf,SWB_nn,TenseM,0.0001873568119136,-1.6828637165658548e-05,-0.5330445832170333,111
joint_rf,SWB_nn,PastM,0.0003814600414496,6.074787786520488e-05,0.7547184606166443,67
joint_rf,SWB_nn,PresentM,0.0002303482698648,3.057810451947284e-05,-0.3738514554652528,106
joint_rf,SWB_nn,FutureM,0.001177081844308,6.083506255372438e-05,-0.824759543594758,14
joint_rf,SWB_nn,ProgM,0.000254676052179,-3.921414809970064e-05,0.2319759441841057,95
joint_rf,SWB_nn,Social,0.0002555501207556,-6.2501851442689594e-06,0.5350150585609399,94
joint_rf,SWB_nn,Family,0.0017260426766477,7.104210066447601e-07,-0.373067096931121,9
joint_rf,SWB_nn,Friend,0.0010335384824261,4.72349109775171e-05,-0.1578975373529293,19
joint_rf,SWB_nn,Humans,0.0007338982199504,7.405551062929038e-05,-0.0341786031769095,35
joint_rf,SWB_nn,Affect,0.000336880913136,-9.237325345386131e-06,-0.8274150618402665,71
joint_rf,SWB_nn,PosEmo,0.0004563734159944,2.8132108662372023e-05,-0.4302601171584537,59
joint_rf,SWB_nn,NegEmo,0.0003510484416912,1.327206356195144e-05,0.7553882094529714,70
joint_rf,SWB_nn,Anx,0.0006673388655363,-3.1468865813479686e-05,-0.7336398281057188,40
joint_rf,SWB_nn,Anger,0.000501655143765,-5.6582233172465305e-05,0.7287788118865949,50
joint_rf,SWB_nn,LIWC-Sad,0.0003789732591672,-5.62685412588325e-06,0.7583252019788578,68
joint_rf,SWB_nn,CogMech,9.704127196309756e-05,5.560299871105273e-06,-0.454804717379184,119
joint_rf,SWB_nn,Insight,0.0004609134939134,1.1606585619193196e-05,-0.5943565747769795,58
joint_rf,SWB_nn,Cause,0.0001793756950133,-6.239731270547202e-06,0.0387092512704907,114
joint_rf,SWB_nn,Discrep,0.0002618514350639,3.810809126639769e-05,-0.7641614941937509,91
joint_rf,SWB_nn,Tentat,0.0001809183548844,7.920204642577944e-06,-0.2263082948486155,113
joint_rf,SWB_nn,Certain,0.0002317185020147,-1.6437021144761735e-05,-0.4754398961558119,104
joint_rf,SWB_nn,Inhibition,0.0004833890913451,-7.939475948356417e-06,0.2515385771725395,55
joint_rf,SWB_nn,Inclusive,0.0001480089505206,6.7810423457761275e-06,-0.2298852740061146,118
joint_rf,SWB_nn,Exclusive,0.0002018774652928,4.4946432228594814e-05,-0.0181300195363717,109
joint_rf,SWB_nn,Percept,0.0007496177947357,-4.1786924250388066e-05,0.3138369688254098,33
joint_rf,SWB_nn,See,0.0008326806340915,2.0420290919566843e-05,-0.4330494121977815,31
joint_rf,SWB_nn,Hear,0.0004002114257987,-5.6775423462723286e-05,0.4763176945377995,65
joint_rf,SWB_nn,Feel,0.0003098275305014,1.3839550314537852e-06,0.6381724254414688,77
joint_rf,SWB_nn,Bio,0.000506931012504,7.642969014633571e-06,0.4305753400656757,49
joint_rf,SWB_nn,Body,0.0003737764900294,4.935105039782466e-05,0.0773478176076905,69
joint_rf,SWB_nn,Health,0.0004176498287872,-1.694971020586566e-05,0.5464537077459025,63
joint_rf,SWB_nn,Sexual,0.0040526229133554,-7.958495144172998e-05,0.7694742148195842,1
joint_rf,SWB_nn,Ingest,0.0002972820343828,2.918567825273261e-05,0.0010290419558221,80
joint_rf,SWB_nn,Relative,0.0002660071345359,-2.0494258097618284e-05,-0.3311687653275219,89
joint_rf,SWB_nn,Motion,0.000170072038974,4.1705195858697954e-05,-0.1081979620143916,115
joint_rf,SWB_nn,Space,0.0004894579561432,-6.879706722227823e-05,-0.4208271781049594,53
joint_rf,SWB_nn,Time,0.0007132014648197,9.454981833979565e-06,-0.5647412223066683,36
joint_rf,SWB_nn,Work,0.0002484654552809,-7.141696728102442e-06,-0.0197150625562252,99
joint_rf,SWB_nn,Achieve,0.0004553435368881,-3.1475783406398264e-05,-0.3710928600033937,60
joint_rf,SWB_nn,Leisure,0.0005092520381669,5.274199370191685e-05,0.772398452043072,48
joint_rf,SWB_nn,Home,0.0003366112220919,2.5071022782336365e-05,0.1634633411577389,72
joint_rf,SWB_nn,Money,0.0002762357323561,-5.379087221327172e-06,0.553681857151928,85
joint_rf,SWB_nn,Religion,0.0008490714510838,-2.4208197814739896e-05,-0.9389973917156677,30
joint_rf,SWB_nn,Death,0.0006500432021755,-2.3266412878107145e-05,0.7532476650002111,42
joint_rf,SWB_nn,Assent,0.0004230995612298,2.849083404412701e-05,-0.5211500092665267,61
joint_rf,SWB_nn,Nonfl,0.0007662258778573,0.0001256653023136,-0.1970183300479586,32
joint_rf,SWB_nn,Filler,0.000290605744078,3.258837660808522e-05,0.4231851216283426,82
joint_rf,SWB_nn,Psychology,0.0002961448878255,-2.511244802369679e-05,0.0611401037978791,81
joint_rf,SWB_nn,Love,0.000967632185441,-1.9763387976903148e-05,0.828525237824051,22
joint_rf,SWB_nn,tPast,0.000188465275704,-2.4314179068665944e-06,-0.0764660188750275,110
joint_rf,SWB_nn,tNow,0.0009131685212936,-0.0001668890253342,-0.8042740484634878,24
joint_rf,SWB_nn,tFuture,0.0015790475748384,9.322124067371609e-05,-0.6298693829489724,10
joint_rf,SWB_nn,Period,0.0021427765135303,6.678876957085958e-05,0.8030622540392113,6
