scenario,family,target,n,pearson_r,pearson_ci_low,pearson_ci_high,pearson_p,rmse,rmse_ci_low,rmse_ci_high,r_squared,spearman_r,winner_pearson_holm_p
latest_record,ridge,SWB_pp,104,0.32030230343191979,0.13611023592003826,0.48309039592383257,0.00091721900155036155,0.1614680709877247,0.1417190398638857,0.18071921430696972,0.069288070131796053,0.37008879662713806,
latest_record,ridge,SWB_avg,104,0.1442980004189898,-0.049670574668907945,0.32777726392036588,0.14389710491651159,0.20586965891784187,0.18519149906992269,0.22597276001632399,0.019258771309603961,0.15737865305753981,
latest_record,single_rf,SWB_nn,104,0.26676201184002657,0.078190859578070482,0.43690418713052714,0.006193447392543551,0.17335727348091612,0.15271928653687927,0.1938221112829861,0.035342221860837353,0.22283803556282158,
latest_record,single_rf,SWB_pp,104,0.25838842991316441,0.069246067048724463,0.4295987190352385,0.008088792880337892,0.16316786756266788,0.14388888180755766,0.18298568681950364,0.049589463256665689,0.26364019024161583,
latest_record,single_rf,SWB_avg,104,0.088484661518179492,-0.10590835889065922,0.27636335001490758,0.37174071449267326,0.20776927266132286,0.18618452234260846,0.22937433712160493,0.0010761516901446333,0.084948249435274584,
latest_record,single_et,SWB_nn,104,0.2897213295062418,0.10287310659620222,0.45682038560450289,0.0028531001998823922,0.17402253944256013,0.15350095248313747,0.1948691120450774,0.027924184524177442,0.27660423608316964,
latest_record,single_et,SWB_pp,104,0.24336541699502459,0.053274113051346911,0.4164355916733567,0.012795827363651436,0.16385105585455675,0.14463387216127255,0.18294880710916309,0.041614011976310539,0.25775338519134006,
latest_record,single_et,SWB_avg,104,0.18097258780429282,-0.012035098836108513,0.36097952508225661,0.065993006132354662,0.20493609639529675,0.18395201136734074,0.22613354897112348,0.028133389362248074,0.14407543663654401,
latest_record,single_hgb,SWB_nn,104,0.053889331628951417,-0.14015346930700351,0.24394577745765522,0.5869106101455287,0.18254376802014449,0.15906184158397424,0.20507442471683021,-0.069604339870956267,0.056026047779897628,
latest_record,single_hgb,SWB_pp,104,0.13391203839261528,-0.06022949830932646,0.31829156170248879,0.17533874535452537,0.16893751739986773,0.14807484914703525,0.1891942998618806,-0.018812306900628739,0.11522005274900031,
latest_record,single_hgb,SWB_avg,104,0.15129663284550879,-0.042530854114552638,0.33414845688419426,0.12524612403425808,0.20808244714124222,0.18381313208267205,0.23156706243704961,-0.0019375107779859846,0.16751367376060372,
latest_record,joint_rf,SWB_nn,104,0.25949218411012837,0.07042337712112999,0.43056296507592945,0.0078127485103076256,0.1744148615050525,0.15377501330841084,0.19413229946296387,0.023536285429218262,0.25461480033776496,
latest_record,joint_rf,SWB_pp,104,0.28640020739516203,0.099288466841403619,0.4539497845543069,0.0032043335058244003,0.16334668349000084,0.14426086419835013,0.18234092998847531,0.047505208955201161,0.26541371045639944,
latest_record,joint_rf,SWB_avg,104,0.10075731971534069,-0.093648116456194447,0.2877616244461248,0.30882017810939072,0.20701236793006542,0.18509309894076673,0.22801274783358022,0.008341065858600949,0.11423135353305697,
latest_record,joint_et,SWB_nn,104,0.29276885469590896,0.10616671614324712,0.4594514456760061,0.0025616867486983157,0.17450906056822998,0.15389091959821832,0.19442850860056388,0.022481251409274372,0.27265083898608522,
latest_record,joint_et,SWB_pp,104,0.3159929290207576,0.13140133135968304,0.47940616452102064,0.0010842071600187936,0.16366360086202764,0.14406964278927101,0.18299510117561907,0.043805654500911784,0.31580946258371501,
latest_record,joint_et,SWB_avg,104,0.11762298889334674,-0.076702768853127601,0.30333971915753893,0.2343770538591998,0.20661084538920452,0.18592856274529809,0.2273371763556761,0.01218419145542704,0.081491550228694531,
latest_record,multitask_en,SWB_nn,104,0.30764123703607371,0.12229899243869238,0.47224958122436922,0.0014889163875553295,0.1743663096740331,0.15386192139924262,0.19446886913872366,0.024079845791290966,0.32876236562213601,
latest_record,multitask_en,SWB_pp,104,0.40772595257218375,0.23347058938596488,0.55660756104505416,1.7393286238827387e-05,0.16364957664499691,0.1442157746717862,0.18333608172226298,0.04396951870056065,0.42336919006765589,
latest_record,multitask_en,SWB_avg,104,0.13980739153404415,-0.054241294337308794,0.32368043750386244,0.15692447424735864,0.20630457729741686,0.18592144162438295,0.22592307227505032,0.015110584121628579,0.19630525339624488,
singleton_uids,mean,SWB_nn,85,,,,,0.17568463753899527,0.15262708005395187,0.19845319883512658,-0.030155279495450493,,
singleton_uids,mean,SWB_pp,85,,,,,0.16678525647099915,0.14251595386430099,0.19021236750407616,-0.0094876084825452622,,
singleton_uids,mean,SWB_avg,85,,,,,0.20964416616381842,0.18777853961433752,0.23066362229877546,-0.0031071341011879028,,
