comparison,model_a,model_b,target,n,delta_rmse_a_minus_b,ci_low,ci_high,delta_mse,swap_p,holm_p
winner_vs_mean,joint_rf,mean,SWB_nn,104,-0.0033854606608092475,-0.006376898850148386,-0.0005925294555248323,-0.0011361568451819426,0.0225977402259774,0.11298870112988701
winner_vs_mean,joint_rf,mean,SWB_pp,104,-0.004767226162353033,-0.008304298240795384,-0.001032430529548732,-0.0015946427647400914,0.016798320167983202,0.10078992100789921
winner_vs_mean,joint_rf,mean,SWB_avg,104,-0.002434120078120827,-0.007430226575452254,0.0023696753928915616,-0.0009913282131915337,0.33666633336666335,1.0
shared_vs_independent,joint_rf,single_rf,SWB_nn,104,0.000925717962281164,-0.0018377235245473661,0.0038932285218410806,0.0003066789865471985,0.5333466653334666,1.0
shared_vs_independent,joint_rf,single_rf,SWB_pp,104,0.00145010346797253,-0.00070250648746185,0.0036389386819953066,0.0004760455462825504,0.19288071192880712,0.7715228477152285
shared_vs_independent,joint_rf,single_rf,SWB_avg,104,0.001084721107236064,-0.002068741012559306,0.0043626255233461175,0.0004379503314052721,0.5021497850214979,1.0
