sample,target,n,mean,sd,min,max
all,SWB_nn,1037,0.3668032786885246,0.16046679574760123,0.0,1.0
all,SWB_pp,1037,0.5433220829315333,0.15573226711120414,0.0,1.0
all,SWB_avg,1037,0.4189006817743491,0.20995849172649497,0.0,1.0
train,SWB_nn,933,0.3643890675241157,0.159448323891914,0.0,1.0
train,SWB_pp,933,0.5454715969989282,0.15411989681313537,0.0,1.0
train,SWB_avg,933,0.42086460021436234,0.2105311726543674,0.0,1.0
test,SWB_nn,104,0.38846153846153847,0.1685864661371145,0.1,0.8
test,SWB_pp,104,0.5240384615384616,0.16908961966135533,0.05,0.925
test,SWB_avg,104,0.40128206730769234,0.20489812160535587,0.0,0.833333
