comparison,model_a,model_b,target,n,delta_rmse_a_minus_b,ci_low,ci_high,delta_mse,swap_p,holm_p
winner_vs_mean,joint_rf,mean,SWB_nn,104,-0.0033854606608092,-0.0063768988501483,-0.0005925294555248,-0.0011361568451819,0.0225977402259774,0.112988701129887
winner_vs_mean,joint_rf,mean,SWB_pp,104,-0.004767226162353,-0.0083042982407953,-0.0010324305295487,-0.00159464276474,0.0167983201679832,0.1007899210078992
winner_vs_mean,joint_rf,mean,SWB_avg,104,-0.0024341200781208,-0.0074302265754522,0.0023696753928915,-0.0009913282131915,0.3366663333666633,1.0
shared_vs_independent,joint_rf,single_rf,SWB_nn,104,0.0009257179622811,-0.0018377235245473,0.003893228521841,0.0003066789865471,0.5333466653334666,1.0
shared_vs_independent,joint_rf,single_rf,SWB_pp,104,0.0014501034679725,-0.0007025064874618,0.0036389386819953,0.0004760455462825,0.1928807119288071,0.7715228477152285
shared_vs_independent,joint_rf,single_rf,SWB_avg,104,0.001084721107236,-0.0020687410125593,0.0043626255233461,0.0004379503314052,0.5021497850214979,1.0
